Organization,Type,Contact Email,Website,Phone,Notes,Priority
"Folktinget (Svenska Finlands folkting)","Government/Advocacy","kanslia@folktinget.fi","https://folktinget.fi","+358 2941 23196","Official consultative parliament for Swedish speakers",High
"Åbo Akademi University","University","communications@abo.fi","https://www.abo.fi","+358 2 215 31","Only Swedish-language university in Finland",High
"Svenska kulturfonden","Foundation","info@skr.fi","https://www.kulturfonden.fi","","Funds Swedish cultural activities and research",High
"Hufvudstadsbladet","Media/Newspaper","redaktionen@hbl.fi","https://www.hbl.fi","","Largest Swedish daily newspaper in Finland",High
"YLE Svenska (YLE Radio Sweden)","Public Media","svenska@yle.fi","https://svenska.yle.fi","","Swedish-language public broadcasting",High
"Taloustutkimus","Market Research","info@taloustutkimus.fi","https://www.taloustutkimus.fi","","Largest market research firm in Finland",High
"Norstat Finland","Market Research","finland@norstat.com","https://norstat.fi","","Nordic panel provider",High
"Kantar Finland","Market Research","finland@kantar.com","https://www.kantar.com/fi","","Global market research firm",Medium
"Helsinki City (Swedish services)","Municipality","svenska@hel.fi","https://www.hel.fi/sv","","Capital city bilingual services",High
"Turku City (Swedish dept)","Municipality","Research needed","https://www.turku.fi","","Bilingual city on west coast",Medium
"Espoo City (Swedish services)","Municipality","Research needed","https://www.espoo.fi/sv","","Second largest city, growing Swedish community",Medium
"Hanken School of Economics","University","info@hanken.fi","https://www.hanken.fi/sv","+358 9 431 331","Swedish-language business school",High
"University of Helsinki (Swedish dept)","University","kirjaamo@helsinki.fi","https://www.helsinki.fi/sv","+358 2941 911","Large Swedish programs",Medium
"Svenska Litteratursällskapet (SLS)","Research Institute","info@sls.fi","https://www.sls.fi","","Swedish cultural and historical research",High
"Institutet för de inhemska språken","Government Research","kirjaamo@kotus.fi","https://www.kotus.fi","","Institute for the Languages of Finland",Medium
"Vasabladet","Media/Newspaper","redaktionen@vasabladet.fi","https://www.vasabladet.fi","","West coast Swedish newspaper",Medium
"Åbo Underrättelser","Media/Newspaper","redaktion@au.fi","https://www.au.fi","","Turku Swedish newspaper",Medium
"2insights Research","Market Research","info@2insights.com","https://2insights.com","","Consumer research specialist",Medium
"Kela (Social Insurance)","Government","asiakaspalvelu@kela.fi","https://www.kela.fi/sv","","Bilingual public services",Medium
"Ministry of Education and Culture","Government","kirjaamo@minedu.fi","https://minedu.fi","","National education and culture policy",Medium
"THL (National Institute for Health)","Government Research","kirjaamo@thl.fi","https://thl.fi","","Healthcare research and surveys",Medium
"Åland Government","Regional Government","registrator@regeringen.ax","https://www.regeringen.ax","+358 18 25000","100% Swedish-speaking autonomous region",High
"Zapera","Market Research","info@zapera.com","https://www.zapera.com","","Digital survey platform",Low
"Innolink Research","Market Research","info@innolink.fi","https://www.innolink.fi","","Nordic market research",Low
"Svenska Finlands Folktinggrupp","Political","Research needed","https://folktinget.fi","","Political representatives",Low
"Åbo Akademi - Faculty of Social Sciences","University","fhs@abo.fi","https://www.abo.fi/en/faculty-of-arts-psychology-and-theology/","+358 2 215 31","Sociology and survey research focus",High
"Nationalarkivet (National Archives)","Government","kansallisarkisto@arkisto.fi","https://www.arkisto.fi","","Swedish historical documents",Low
"Finlands svenska skoldelegation","Education","info@fsd.fi","https://www.fsd.fi","","Swedish-language school administration",Medium
"TNS Gallup Finland","Market Research","Research needed","https://www.kantar.com/fi","","Opinion polling (now part of Kantar)",Low
"Svenska studiecentralen","Education/Culture","info@studiecentralen.fi","https://studiecentralen.fi","","Adult education in Swedish",Low
